DATA,TAM,GOL,AZUL,AVIANCA,PASSAREDO
Jan 17,20316,23901,24068,7189,1646
Fev 17,17321,19301,20415,6318,1415
Mar 17,19435,21202,23164,6956,1628
Abr 17,17738,19094,20694,6321,1435
Mai 17,18393,19992,22239,7131,1516
Jun 17,17509,19095,20475,6958,1285
Jul 17,20309,23131,21854,7735,1333
Ago 17,19785,20652,21389,7829,1369
Set 17,18559,20304,20660,7574,1281
Out 17,19173,20991,20803,7976,1416
Nov 17,18873,20661,20393,7685,1399
Dez 17,19855,23566,21991,8104,1358
Jan 18,20590,24820,22893,8383,1320
Fev 18,17829,19624,19396,7340,1135
Mar 18,19497,20447,21546,8167,1242
Abr 18,18322,19155,21352,8053,1242
Mai 18,19279,20238,21613,8397,1240
Jun 18,18411,19081,21439,7874,1107
Jul 18,20438,23983,23433,8584,1158
Ago 18,19977,20407,22382,8389,1148
Set 18,18953,19906,21405,8068,1089
Out 18,19940,20290,22188,8320,1162
Nov 18,19127,20265,20548,7669,1000
Dez 18,20024,23237,23243,7816,984
Jan 19,21035,24602,24681,7801,799
Fev 19,18211,19351,22341,6936,856
Mar 19,19277,20230,23039,7196,853
Abr 19,18620,19353,22912,4370,887
Mai 19,19434,19777,23889,0,908
Jun 19,18740,20014,23297,0,921
Jul 19,22256,24775,25493,0,1171
Ago 19,21573,22251,25070,0,1115
Set 19,21098,21888,25497,0,1081
Out 19,22049,21916,26391,0,1188
Nov 19,22141,21857,23816,0,1363
Dez 19,23712,24829,25413,0,1364
Jan 20,24207,25964,27248,0,1383
Fev 20,21691,21382,23386,0,1279
Mar 20,16378,15887,16881,0,1076
Abr 20,1110,1190,1945,0,0
Mai 20,1273,1375,2811,0,8
Jun 20,2012,2616,3962,0,7
Jul 20,3593,5451,5897,0,232
Ago 20,5494,5816,8358,0,523
Set 20,7301,8157,9425,0,833
Out 20,8975,11300,13457,0,1005
Nov 20,10670,11128,16640,0,1083
Dez 20,12085,14859,19129,0,1143
