DATA,TAM,GOL,AZUL,AVIANCA,PASSAREDO
Jan 17,152.2,134.1,83.7,128.0,37.6
Fev 17,143.5,121.1,78.7,123.1,35.4
Mar 17,142.2,121.6,80.3,119.8,37.4
Abr 17,145.2,126.2,82.9,121.2,35.8
Mai 17,140.3,122.9,79.9,116.5,34.3
Jun 17,145.6,125.1,82.1,119.6,37.4
Jul 17,152.4,132.6,86.6,127.6,40.5
Ago 17,145.4,125.5,84.0,120.8,38.1
Set 17,151.3,130.0,85.6,125.6,37.2
Out 17,152.5,131.8,84.4,127.6,36.5
Nov 17,147.5,132.0,84.0,125.1,33.0
Dez 17,151.9,131.4,85.6,128.4,36.6
Jan 18,149.0,133.5,88.1,121.1,27.5
Fev 18,163.7,145.6,93.4,133.4,32.3
Mar 18,152.8,134.4,89.3,128.4,33.6
Abr 18,152.7,137.9,87.5,126.0,32.0
Mai 18,151.3,132.2,90.3,126.6,34.6
Jun 18,168.5,175.0,98.6,143.1,38.1
Jul 18,123.9,104.5,75.7,111.4,31.3
Ago 18,130.0,123.8,79.8,117.9,36.0
Set 18,139.8,124.6,85.0,124.0,39.1
Out 18,140.8,125.8,82.3,122.5,34.9
Nov 18,137.1,119.3,79.4,122.8,35.2
Dez 18,155.8,142.8,87.0,141.5,44.0
Jan 19,151.7,141.5,88.7,127.1,36.0
Fev 19,147.8,137.5,88.3,124.0,31.4
Mar 19,148.5,133.2,88.5,125.3,31.2
Abr 19,150.2,134.6,91.3,114.8,35.5
Mai 19,146.2,138.3,91.2,0.0,36.8
Jun 19,143.1,139.6,91.4,0.0,36.5
Jul 19,150.7,144.3,96.6,0.0,36.2
Ago 19,145.9,140.2,93.5,0.0,37.3
Set 19,145.9,137.0,92.9,0.0,41.0
Out 19,153.4,140.9,94.6,0.0,43.3
Nov 19,152.7,140.0,93.8,0.0,40.4
Dez 19,153.4,140.3,95.8,0.0,38.6
Jan 20,154.7,139.6,98.1,0.0,34.0
Fev 20,149.1,133.5,95.7,0.0,35.5
Mar 20,127.1,116.5,88.5,0.0,29.8
Abr 20,85.0,120.1,87.0,0.0,0.0
Mai 20,102.0,116.0,93.8,0.0,0.0
Jun 20,101.1,118.8,98.2,0.0,0.0
Jul 20,102.4,123.8,99.5,0.0,27.5
Ago 20,115.9,134.0,94.1,0.0,35.2
Set 20,133.0,137.0,101.8,0.0,32.8
Out 20,133.8,134.3,101.4,0.0,41.3
Nov 20,142.8,143.7,100.1,0.0,43.2
Dez 20,140.8,139.4,98.3,0.0,42.1
